U:x,Points: x,Points: y,u_t,U+,y+ 
1.1442,1.99,0.00048348,1.92E-01,5.9506,6.197627867
1.369,1.75,0.00041302,2.28E-01,6.0093,6.272788795
1.1707,1.75,0.00048348,1.95E-01,6.0106,6.2779402
1.4048,1.5,0.00041302,2.31E-01,6.0804,6.361508544
1.2021,1.5,0.00048348,1.98E-01,6.0837,6.368803581
1.2355,1.99,0.00048348,2.01E-01,6.1619,6.462743628
1.2636,1.75,0.00048348,2.03E-01,6.222,6.545833123
1.2968,1.5,0.00048348,2.06E-01,6.295,6.639976715
1.3284,1.99,0.00048348,2.09E-01,6.3653,6.726609903
1.3581,1.75,0.00048348,2.11E-01,6.4256,6.812468499
1.3932,1.5,0.00048348,2.14E-01,6.4988,6.909883798
1.1992,1.99,0.00056504,1.84E-01,6.5166,6.931988171
1.4229,1.99,0.00048348,2.17E-01,6.5616,6.989585145
1.2263,1.75,0.00056504,1.86E-01,6.5779,7.022570208
1.4541,1.75,0.00048348,2.20E-01,6.6216,7.078177503
1.2583,1.5,0.00056504,1.89E-01,6.6526,7.124892518
1.491,1.5,0.00048348,2.23E-01,6.6944,7.178826936
1.2962,1.99,0.00056504,1.92E-01,6.7411,7.243128257
1.5187,1.99,0.00048348,2.25E-01,6.7503,7.251603349
1.3249,1.75,0.00056504,1.95E-01,6.8023,7.33698877
1.5514,1.75,0.00048348,2.28E-01,6.8099,7.342908156
1.3587,1.5,0.00056504,1.98E-01,6.8763,7.443180225
1.5901,1.5,0.00048348,2.31E-01,6.8825,7.446763234
1.3947,1.99,0.00056504,2.01E-01,6.9559,7.55296736
1.4249,1.75,0.00056504,2.03E-01,7.0163,7.650073525
1.4606,1.5,0.00056504,2.06E-01,7.0901,7.760098542
1.4944,1.99,0.00056504,2.09E-01,7.1607,7.861346197
1.5261,1.75,0.00056504,2.11E-01,7.2205,7.961688593
1.5636,1.5,0.00056504,2.14E-01,7.2936,8.075537233
1.3441,1.99,0.00065943,1.84E-01,7.304,8.089977629
1.5952,1.99,0.00056504,2.17E-01,7.3562,8.16868369
1.3729,1.75,0.00065943,1.86E-01,7.3643,8.195691407
1.6284,1.75,0.00056504,2.20E-01,7.4153,8.272221015
1.4069,1.5,0.00065943,1.89E-01,7.4383,8.31510667
1.6677,1.5,0.00056504,2.23E-01,7.4878,8.389849367
1.4472,1.99,0.00065943,1.92E-01,7.5265,8.453093704
1.6971,1.99,0.00056504,2.25E-01,7.5433,8.474902698
1.4775,1.75,0.00065943,1.95E-01,7.5857,8.562633627
1.7317,1.75,0.00056504,2.28E-01,7.6014,8.581610045
1.5134,1.5,0.00065943,1.98E-01,7.6592,8.686564378
1.7728,1.5,0.00056504,2.31E-01,7.6733,8.702984814
1.5513,1.99,0.00065943,2.01E-01,7.7369,8.814691467
1.5831,1.75,0.00065943,2.03E-01,7.7953,8.928019228
1.6208,1.5,0.00065943,2.06E-01,7.8677,9.056423937
1.6564,1.99,0.00065943,2.09E-01,7.937,9.174585025
1.6897,1.75,0.00065943,2.11E-01,7.9945,9.29168963
1.7291,1.5,0.00065943,2.14E-01,8.0656,9.4245567
1.4848,1.99,0.00076868,1.84E-01,8.0686,9.430271604
1.7622,1.99,0.00065943,2.17E-01,8.1263,9.533263283
1.515,1.75,0.00076868,1.86E-01,8.1265,9.553499341
1.797,1.75,0.00065943,2.20E-01,8.183,9.654096531
1.5508,1.5,0.00076868,1.89E-01,8.1991,9.692698536
1.8382,1.5,0.00065943,2.23E-01,8.2533,9.791374713
1.5928,1.99,0.00076868,1.92E-01,8.2837,9.853546348
1.8688,1.99,0.00065943,2.25E-01,8.3065,9.890636214
1.6244,1.75,0.00076868,1.95E-01,8.3399,9.981234121
1.905,1.75,0.00065943,2.28E-01,8.3621,10.01516904
1.662,1.5,0.00076868,1.98E-01,8.4112,10.1256969
1.9479,1.5,0.00065943,2.31E-01,8.4311,10.15681947
1.7015,1.99,0.00076868,2.01E-01,8.486,10.27505124
1.7346,1.75,0.00076868,2.03E-01,8.5413,10.40715439
1.7739,1.5,0.00076868,2.06E-01,8.6109,10.55683234
1.8108,1.99,0.00076868,2.09E-01,8.6768,10.69456958
1.8454,1.75,0.00076868,2.11E-01,8.7312,10.8310753
1.6189,1.99,0.00089512,1.84E-01,8.7973,10.98145486
1.8865,1.5,0.00076868,2.14E-01,8.7998,10.98595491
1.9208,1.99,0.00076868,2.17E-01,8.8576,11.11267128
1.6502,1.75,0.00089512,1.86E-01,8.8517,11.1249523
1.9568,1.75,0.00076868,2.20E-01,8.9107,11.25352338
1.6874,1.5,0.00089512,1.89E-01,8.9213,11.28704833
1.9997,1.5,0.00076868,2.23E-01,8.9784,11.4135449
1.7308,1.99,0.00089512,1.92E-01,9.0014,11.47435397
2.0313,1.99,0.00076868,2.25E-01,9.0287,11.52925139
1.7637,1.75,0.00089512,1.95E-01,9.0551,11.62304507
2.0688,1.75,0.00076868,2.28E-01,9.0811,11.67441599
1.8027,1.5,0.00089512,1.98E-01,9.1233,11.7912705
2.1134,1.5,0.00076868,2.31E-01,9.1475,11.83953413
1.8434,1.99,0.00089512,2.01E-01,9.1937,11.9651921
1.8777,1.75,0.00089512,2.03E-01,9.2459,12.11902487
1.9185,1.5,0.00089512,2.06E-01,9.3128,12.29332332
1.9564,1.99,0.00089512,2.09E-01,9.3745,12.45371692
1.9922,1.75,0.00089512,2.11E-01,9.4257,12.61267644
1.7453,1.99,0.0010415,1.84E-01,9.4842,12.77726476
2.0348,1.5,0.00089512,2.14E-01,9.4916,12.79303215
2.07,1.99,0.00089512,2.17E-01,9.5457,12.94059207
1.7777,1.75,0.0010415,1.86E-01,9.5357,12.9442285
2.1072,1.75,0.00089512,2.20E-01,9.5956,13.1046129
1.8162,1.5,0.0010415,1.89E-01,9.6023,13.13283229
2.1515,1.5,0.00089512,2.23E-01,9.66,13.29095633
1.8608,1.99,0.0010415,1.92E-01,9.6775,13.35076823
2.184,1.99,0.00089512,2.25E-01,9.7075,13.42569535
1.8947,1.75,0.0010415,1.95E-01,9.7277,13.52377496
